  Vibrational level      0
  Energy           4645.49 cm-1
 --------------------------------
     3     9     7     0.00000
     3     9     8    -0.00000
     3     9     9     0.00000
     3     9    10     0.00000
     3    10     0    -0.00000
     3    10     1     0.00000
     3    10     2     0.00000
     3    10     3     0.00000
     3    10     4    -0.00000
     3    10     5     0.00000
     3    10     6    -0.00000
     3    10     7     0.00000
     3    10     8     0.00000
     3    10     9     0.00000
     3    10    10    -0.00000
     4     0     0    -0.00000
     4     0     1     0.00061
     4     0     2    -0.00000
     4     0     3     0.00019
     4     0     4     0.00000
     4     0     5     0.00014
     4     0     6    -0.00000
     4     0     7     0.00003
     4     0     8    -0.00000
     4     0     9     0.00000
     4     0    10     0.00000
     4     1     0     0.00000
     4     1     1    -0.00022
     4     1     2    -0.00000
     4     1     3    -0.00011
     4     1     4     0.00000
     4     1     5     0.00002
     4     1     6     0.00000
     4     1     7     0.00003
     4     1     8    -0.00000
     4     1     9     0.00001
     4     1    10     0.00000
     4     2     0     0.00000
     4     2     1     0.00022
     4     2     2     0.00000
     4     2     3    -0.00000
     4     2     4    -0.00000
     4     2     5    -0.00002
     4     2     6     0.00000
     4     2     7     0.00000
     4     2     8    -0.00000
     4     2     9     0.00000
     4     2    10     0.00000
     4     3     0    -0.00000
     4     3     1     0.00000
     4     3     2     0.00000
     4     3     3     0.00003
     4     3     4    -0.00000
     4     3     5     0.00000
     4     3     6    -0.00000
     4     3     7    -0.00000
     4     3     8     0.00000
     4     3     9     0.00000
     4     3    10    -0.00000
     4     4     0    -0.00000
     4     4     1    -0.00001
     4     4     2    -0.00000
     4     4     3    -0.00000
     4     4     4     0.00000
     4     4     5     0.00000
     4     4     6    -0.00000
     4     4     7     0.00000
     4     4     8     0.00000
     4     4     9    -0.00000
     4     4    10    -0.00000
     4     5     0     0.00000
     4     5     1     0.00002
     4     5     2    -0.00000
     4     5     3     0.00000
     4     5     4     0.00000
     4     5     5    -0.00000
     4     5     6     0.00000
     4     5     7     0.00000
     4     5     8    -0.00000
     4     5     9     0.00000
     4     5    10     0.00000
     4     6     0     0.00000
     4     6     1     0.00000
     4     6     2    -0.00000
     4     6     3     0.00000
     4     6     4    -0.00000
     4     6     5     0.00000
     4     6     6     0.00000
     4     6     7    -0.00000
     4     6     8    -0.00000
     4     6     9     0.00000
     4     6    10     0.00000
     4     7     0     0.00000
     4     7     1     0.00000
     4     7     2     0.00000
     4     7     3     0.00000
     4     7     4    -0.00000
     4     7     5     0.00000
     4     7     6    -0.00000
     4     7     7     0.00000
     4     7     8     0.00000
     4     7     9    -0.00000
     4     7    10    -0.00000
     4     8     0    -0.00000
     4     8     1     0.00000
     4     8     2     0.00000
     4     8     3     0.00000
     4     8     4     0.00000
     4     8     5     0.00000
     4     8     6    -0.00000
     4     8     7     0.00000
     4     8     8     0.00000
     4     8     9     0.00000
     4     8    10    -0.00000
     4     9     0    -0.00000
     4     9     1     0.00000
     4     9     2    -0.00000
     4     9     3     0.00000
     4     9     4     0.00000
     4     9     5     0.00000
     4     9     6     0.00000
     4     9     7     0.00000
     4     9     8    -0.00000
     4     9     9     0.00000
     4     9    10     0.00000
     4    10     0     0.00000
     4    10     1     0.00000
     4    10     2    -0.00000
     4    10     3     0.00000
     4    10     4    -0.00000
     4    10     5     0.00000
     4    10     6     0.00000
     4    10     7     0.00000
     4    10     8    -0.00000
     4    10     9    -0.00000
     4    10    10     0.00000
     5     0     0    -0.00000
     5     0     1    -0.00033
     5     0     2    -0.00000
     5     0     3    -0.00013
     5     0     4     0.00000
     5     0     5     0.00001
     5     0     6    -0.00000
     5     0     7     0.00001
     5     0     8     0.00000
     5     0     9     0.00000
     5     0    10     0.00000
     5     1     0    -0.00000
     5     1     1     0.00027
     5     1     2    -0.00000
     5     1     3    -0.00002
     5     1     4    -0.00000
     5     1     5    -0.00002
     5     1     6     0.00000
     5     1     7     0.00000
     5     1     8    -0.00000
     5     1     9     0.00000
     5     1    10     0.00000
     5     2     0    -0.00000
     5     2     1    -0.00003
     5     2     2    -0.00000
     5     2     3     0.00003
     5     2     4    -0.00000
     5     2     5     0.00000
     5     2     6     0.00000
     5     2     7    -0.00000
     5     2     8    -0.00000
     5     2     9     0.00000
     5     2    10     0.00000
     5     3     0    -0.00000
     5     3     1    -0.00000
     5     3     2    -0.00000
     5     3     3    -0.00001
     5     3     4    -0.00000
     5     3     5     0.00000
     5     3     6     0.00000
     5     3     7     0.00000
     5     3     8     0.00000
     5     3     9    -0.00000
     5     3    10    -0.00000
     5     4     0     0.00000
     5     4     1     0.00001
     5     4     2     0.00000
     5     4     3    -0.00000
     5     4     4    -0.00000
     5     4     5    -0.00000
     5     4     6    -0.00000
     5     4     7     0.00000
     5     4     8     0.00000
     5     4     9     0.00000
     5     4    10    -0.00000
     5     5     0     0.00000
     5     5     1    -0.00000
     5     5     2     0.00000
     5     5     3     0.00000
     5     5     4     0.00000
     5     5     5     0.00000
     5     5     6    -0.00000
     5     5     7    -0.00000
     5     5     8    -0.00000
     5     5     9     0.00000
     5     5    10     0.00000
     5     6     0     0.00000
     5     6     1     0.00000
     5     6     2    -0.00000
     5     6     3    -0.00000
     5     6     4     0.00000
     5     6     5     0.00000
     5     6     6     0.00000
     5     6     7     0.00000
     5     6     8    -0.00000
     5     6     9    -0.00000
     5     6    10     0.00000
     5     7     0    -0.00000
     5     7     1     0.00000
     5     7     2    -0.00000
     5     7     3     0.00000
     5     7     4     0.00000
     5     7     5    -0.00000
     5     7     6    -0.00000
     5     7     7     0.00000
     5     7     8     0.00000
     5     7     9     0.00000
     5     7    10     0.00000
     5     8     0    -0.00000
     5     8     1    -0.00000
     5     8     2     0.00000
     5     8     3     0.00000
     5     8     4    -0.00000
     5     8     5     0.00000
     5     8     6    -0.00000
     5     8     7    -0.00000
     5     8     8     0.00000
     5     8     9     0.00000
     5     8    10    -0.00000
     5     9     0     0.00000
     5     9     1     0.00000
     5     9     2     0.00000
     5     9     3    -0.00000
     5     9     4    -0.00000
     5     9     5     0.00000
     5     9     6     0.00000
     5     9     7     0.00000
     5     9     8     0.00000
     5     9     9    -0.00000
     5     9    10    -0.00000
     5    10     0     0.00000
     5    10     1     0.00000
     5    10     2    -0.00000
     5    10     3     0.00000
     5    10     4     0.00000
     5    10     5    -0.00000
     5    10     6     0.00000
     5    10     7     0.00000
     5    10     8    -0.00000
     5    10     9     0.00000
     5    10    10     0.00000
     6     0     0     0.00000
     6     0     1     0.00018
     6     0     2    -0.00000
     6     0     3     0.00001
     6     0     4    -0.00000
     6     0     5    -0.00000
     6     0     6     0.00000
     6     0     7     0.00000
     6     0     8    -0.00000
     6     0     9     0.00000
     6     0    10     0.00000
     6     1     0    -0.00000
     6     1     1    -0.00003
     6     1     2     0.00000
     6     1     3     0.00001
     6     1     4    -0.00000
     6     1     5    -0.00000
     6     1     6    -0.00000
     6     1     7    -0.00000
     6     1     8     0.00000
     6     1     9     0.00000
     6     1    10    -0.00000
     6     2     0    -0.00000
     6     2     1     0.00001
     6     2     2    -0.00000
     6     2     3     0.00000
     6     2     4     0.00000
     6     2     5     0.00000
     6     2     6    -0.00000
     6     2     7    -0.00000
     6     2     8     0.00000
     6     2     9    -0.00000
     6     2    10    -0.00000
     6     3     0     0.00000
     6     3     1    -0.00000
     6     3     2    -0.00000
     6     3     3     0.00000
     6     3     4     0.00000
     6     3     5     0.00000
     6     3     6     0.00000
     6     3     7     0.00000
     6     3     8    -0.00000
     6     3     9    -0.00000
     6     3    10     0.00000
     6     4     0     0.00000
     6     4     1     0.00000
     6     4     2     0.00000
     6     4     3     0.00000
     6     4     4    -0.00000
     6     4     5    -0.00000
     6     4     6     0.00000
     6     4     7     0.00000
     6     4     8    -0.00000
     6     4     9     0.00000
     6     4    10     0.00000
     6     5     0    -0.00000
     6     5     1     0.00000
     6     5     2     0.00000
     6     5     3     0.00000
     6     5     4    -0.00000
     6     5     5     0.00000
     6     5     6    -0.00000
     6     5     7    -0.00000
     6     5     8     0.00000
     6     5     9     0.00000
     6     5    10    -0.00000
     6     6     0    -0.00000
     6     6     1    -0.00000
